transaction_date,total_transactions,mined,unmined
2023-04-27,741,712,29
2023-04-28,1485,1426,59
2023-04-29,1361,1293,68
2023-04-30,1570,1520,50
2023-05-01,1893,1837,56
2023-05-02,1536,1479,57
2023-05-03,2219,2106,113
2023-05-04,2096,2045,51
2023-05-05,1650,1598,52
2023-05-06,2476,2428,48
2023-05-07,2951,2906,45
2023-05-08,1873,1806,67
2023-05-09,2248,2184,64
2023-05-10,1963,1920,43
2023-05-11,2610,2547,63
2023-05-12,2020,1583,437
2023-05-13,1661,1622,39
2023-05-14,1893,1855,38
2023-05-17,2749,2676,73
2023-05-18,2492,2426,66
2023-05-19,2184,2104,80
2023-05-20,1651,1614,37
2023-05-21,2574,2483,91
2023-05-22,3729,3651,78
2023-05-23,3254,3196,58
2023-05-24,2901,2840,61
2023-05-25,2265,2215,50
2023-05-26,3125,3066,59
2023-05-27,1714,1665,49
2023-05-28,2400,2344,56
2023-05-29,2809,2774,35
2023-05-30,3581,3519,62
2023-05-31,2943,2895,48
2023-06-01,3037,2967,70
2023-06-02,2333,2258,75
2023-06-03,2173,2104,69
2023-06-04,2174,2146,28
2023-06-05,2690,2610,80
2023-06-06,2293,2219,74
2023-06-07,2402,2375,27
2023-06-08,2433,2410,23
2023-06-09,1778,1730,48
2023-06-10,1109,1025,84
2023-06-11,964,913,51
2023-06-12,1890,1838,52
2023-06-13,1632,1606,26
2023-06-14,1800,1737,63
2023-06-15,1918,1883,35
2023-06-16,1217,1160,57
2023-06-17,1261,1233,28
2023-06-18,2579,2521,58
2023-06-19,2252,2186,66
2023-06-20,2291,2177,114
2023-06-21,2205,2139,66
2023-06-22,2033,1995,38
2023-06-23,2376,2328,48
2023-06-24,1704,1656,48
2023-06-25,1187,1153,34
2023-06-26,2200,2131,69
2023-06-27,1889,1824,65
2023-06-28,1690,1668,22
2023-06-29,3832,3766,66
2023-06-30,3138,3066,72
2023-07-01,2859,2792,67
2023-07-02,2540,2467,73
2023-07-03,2347,2256,91
2023-07-04,1185,1160,25
2023-07-05,1851,1807,44
2023-07-06,3412,3320,92
2023-07-07,4192,4072,120
2023-07-08,3216,3178,38
2023-07-09,3450,3391,59
2023-07-10,2850,2780,70
2023-07-11,3215,3152,63
2023-07-12,2960,2935,25
2023-07-13,2375,2294,81
2023-07-14,2446,2356,90
2023-07-15,2406,2376,30
2023-07-16,2314,2274,40
2023-07-17,2802,2743,59
2023-07-18,3064,3027,37
2023-07-19,2459,2422,37
2023-07-20,3717,3662,55
2023-07-21,4372,4288,84
2023-07-22,2691,2631,60
2023-07-23,3005,2952,53
2023-07-24,3414,3355,59
2023-07-25,3887,3824,63
2023-07-26,3747,3645,102
2023-07-27,3252,3205,47
2023-07-28,3088,3016,72
2023-07-29,2816,2776,40
2023-07-30,1600,1563,37
2023-07-31,2286,2220,66
2023-08-01,2917,2846,71
2023-08-02,4114,3988,126
2023-08-03,3275,3181,94
2023-08-04,2838,2769,69
2023-08-05,2423,2380,43
2023-08-06,2292,2268,24
2023-08-07,2968,2898,70
2023-08-08,3208,3119,89
2023-08-09,2868,2825,43
2023-08-10,3167,3090,77
2023-08-11,3110,3066,44
2023-08-12,2743,2703,40
2023-08-13,2984,2939,45
2023-08-14,2993,2951,42
2023-08-15,2758,2683,75
2023-08-16,2786,2743,43
2023-08-17,2522,2475,47
2023-08-18,3071,3010,61
2023-08-19,2901,2843,58
2023-08-20,3627,3564,63
2023-08-21,3098,3034,64
2023-08-22,2601,2512,89
2023-08-23,3587,3478,109
2023-08-24,2287,2260,27
2023-08-25,2982,2942,40
2023-08-26,2009,1975,34
2023-08-27,2515,2468,47
2023-08-28,4273,4196,77
2023-08-29,3373,3311,62
2023-08-30,2373,2334,39
2023-08-31,3050,2999,51
2023-09-01,1937,1863,74
2023-09-02,1838,1809,29
2023-09-03,2070,2018,52
2023-09-04,2602,2570,32
2023-09-05,2979,2949,30
2023-09-06,2931,2863,68
2023-09-07,3490,3441,49
2023-09-08,4439,4374,65
2023-09-09,2298,2269,29
2023-09-10,1805,1779,26
2023-09-11,4247,3868,379
2023-09-12,3230,3178,52
2023-09-13,2275,2213,62
2023-09-14,3010,2697,313
2023-09-15,3468,3387,81
2023-09-16,2410,2367,43
2023-09-17,2046,1999,47
2023-09-18,3011,2966,45
2023-09-19,1908,1879,29
2023-09-20,2090,2030,60
2023-09-21,1998,1952,46
2023-09-22,1929,1883,46
2023-09-23,1929,1901,28
2023-09-24,1831,1710,121
2023-09-25,2185,2119,66
2023-09-26,1684,1641,43
2023-09-27,1847,1788,59
2023-09-28,1762,1697,65
2023-09-29,1909,1864,45
2023-09-30,2451,2407,44
2023-10-01,1653,1627,26
2023-10-02,2319,2189,130
2023-10-03,2447,2390,57
2023-10-04,2173,2142,31
2023-10-05,1880,1838,42
2023-10-06,2256,2218,38
2023-10-07,1815,1802,13
2023-10-08,1555,1537,18
2023-10-09,1743,1689,54
2023-10-10,2272,2232,40
2023-10-11,1798,1775,23
2023-10-12,1823,1786,37
2023-10-13,2371,2343,28
2023-10-14,1363,1339,24
2023-10-15,1282,1258,24
2023-10-16,2042,2003,39
2023-10-17,1965,1934,31
2023-10-18,2728,2672,56
2023-10-19,2457,2394,63
2023-10-20,2651,2617,34
2023-10-21,1998,1970,28
2023-10-22,1957,1925,32
2023-10-23,2034,1958,76
2023-10-24,1893,1807,86
2023-10-25,2473,2446,27
2023-10-26,1883,1841,42
2023-10-27,2213,2187,26
2023-10-28,2377,2348,29
2023-10-29,1863,1830,33
2023-10-30,2933,2882,51
2023-10-31,2403,2355,48
2023-11-01,2458,2409,49
2023-11-02,1992,1957,35
2023-11-03,2305,2278,27
2023-11-04,1869,1845,24
2023-11-05,2096,2082,14
2023-11-06,2775,2649,126
2023-11-07,2150,2112,38
2023-11-08,2283,2243,40
2023-11-09,1941,1864,77
2023-11-10,1566,1486,80
2023-11-11,1622,1576,46
2023-11-12,1507,1488,19
2023-11-13,1625,1602,23
2023-11-14,1748,1704,44
2023-11-15,1701,1684,17
2023-11-16,1555,1519,36
2023-11-17,1474,1455,19
2023-11-18,1450,1404,46
2023-11-19,1369,1338,31
2023-11-20,1443,1426,17
2023-11-21,1428,1402,26
2023-11-22,1608,1563,45
2023-11-23,1268,1251,17
2023-11-24,1691,1669,22
2023-11-25,1107,1082,25
2023-11-26,1544,1526,18
2023-11-27,1660,1632,28
2023-11-28,1853,1805,48
2023-11-29,1694,1655,39
2023-11-30,1986,1940,46
