block_date,total_transactions,mined,unmined
2023-04-27,20498,19637,861
2023-04-28,43289,41826,1463
2023-04-29,34825,33857,968
2023-04-30,46560,45340,1220
2023-05-01,58762,57211,1551
2023-05-02,60078,58603,1475
2023-05-03,57590,56111,1479
2023-05-04,62055,60809,1246
2023-05-05,63554,61812,1742
2023-05-06,73361,71590,1771
2023-05-07,80334,78504,1830
2023-05-08,74089,72118,1971
2023-05-09,76973,75224,1749
2023-05-10,81768,79550,2218
2023-05-11,88827,86332,2495
2023-05-12,75281,70811,4470
2023-05-13,54780,53435,1345
2023-05-14,56747,55465,1282
2023-05-15,39461,38545,916
2023-05-17,41812,40758,1054
2023-05-18,79493,77873,1620
2023-05-19,73243,71652,1591
2023-05-20,63499,62299,1200
2023-05-21,71708,69739,1969
2023-05-22,90799,88773,2026
2023-05-23,103238,100869,2369
2023-05-24,82375,80490,1885
2023-05-25,81431,79555,1876
2023-05-26,79817,78161,1656
2023-05-27,62560,61251,1309
2023-05-28,85403,83849,1554
2023-05-29,107109,105431,1678
2023-05-30,95807,93922,1885
2023-05-31,91013,88938,2075
2023-06-01,90562,88578,1984
2023-06-02,81232,78825,2407
2023-06-03,70301,68299,2002
2023-06-04,70544,68775,1769
2023-06-05,89474,85153,4321
2023-06-06,81401,78798,2603
2023-06-07,75018,73435,1583
2023-06-08,79230,77856,1374
2023-06-09,67714,65909,1805
2023-06-10,43768,41600,2168
2023-06-11,44784,42987,1797
2023-06-12,65377,63310,2067
2023-06-13,59953,58221,1732
2023-06-14,64733,62991,1742
2023-06-15,60396,59015,1381
2023-06-16,42500,41171,1329
2023-06-17,49276,47880,1396
2023-06-18,67288,65657,1631
2023-06-19,70326,68545,1781
2023-06-20,74729,72148,2581
2023-06-21,74300,71668,2632
2023-06-22,69604,67451,2153
2023-06-23,82805,80958,1847
2023-06-24,61465,60038,1427
2023-06-25,54534,52429,2105
2023-06-26,61285,59488,1797
2023-06-27,70968,68942,2026
2023-06-28,91590,89743,1847
2023-06-29,110694,108295,2399
2023-06-30,92793,90329,2464
2023-07-01,95578,93190,2388
2023-07-02,88760,86326,2434
2023-07-03,95191,92395,2796
2023-07-04,70075,67909,2166
2023-07-05,71366,69732,1634
2023-07-06,94170,91549,2621
2023-07-07,112302,109913,2389
2023-07-08,97871,95957,1914
2023-07-09,102951,100574,2377
2023-07-10,112906,110452,2454
2023-07-11,104295,102391,1904
2023-07-12,98317,96535,1782
2023-07-13,104850,102814,2036
2023-07-14,85705,83464,2241
2023-07-15,87018,85073,1945
2023-07-16,103523,101443,2080
2023-07-17,103945,101994,1951
2023-07-18,102903,101043,1860
