block_date,daily_refund_value_eth,mev_share_bundle_count
2023-04-19,0.00028084262202,1
2023-05-03,0.0018701460981165,2
2023-05-11,0.0006841861064151,2
2023-05-12,0.0028043327503618,1
2023-05-17,0.0065557992649698,1
2023-05-23,0.0435088272468247,2
2023-05-24,0.006992672941579599,2
2023-05-26,0.012287027778479998,2
2023-05-28,10.839711044220135,6
2023-05-29,0.027838212578509502,7
2023-05-30,0.0338054503361359,2
2023-06-01,0.0258939263059089,1
2023-06-02,0.0692252846194059,2
2023-06-03,0.000390364070153,2
2023-06-04,0.0012271638618581,1
2023-06-05,0.031462614179668,3
2023-06-06,0.0021415300102816,1
2023-06-07,0.003184802961168,1
2023-06-08,0.0215673235140732,1
2023-06-09,0.1024648941951511,2
2023-06-10,0.0102578042741094,2
2023-06-11,0.0074839557100293,1
2023-06-12,0.0096849712270975,1
2023-06-13,0.1979933904881105,3
2023-06-14,0.1773506000231772,3
2023-06-15,0.1041459617657669,5
2023-06-16,0.4400959869195527,11
2023-06-17,0.034894688261597695,5
2023-06-18,0.0578862666046204,2
2023-06-19,0.0110533314872969,2
2023-06-20,0.1067941565867843,4
2023-06-21,0.33590086437578676,6
2023-06-22,0.0320386099954454,3
2023-06-23,0.1083016303015187,3
2023-06-25,9.192426933e-05,1
2023-06-26,0.0354888079645754,2
2023-06-27,0.0028111672281972,1
2023-06-28,0.020886022625077,4
2023-06-29,0.0699651620820992,4
2023-06-30,0.064561631600477,7
2023-07-01,0.04098549468504,1
2023-07-02,0.0010381203148581001,2
2023-07-03,0.0268102326753539,5
2023-07-04,0.1592318249766137,6
2023-07-05,0.0316723094088762,5
2023-07-06,0.001970732921774,1
2023-07-07,0.0015500897232490001,3
2023-07-08,3.938121393377085,3
2023-07-10,0.06158865561880541,4
2023-07-11,0.0128672423343935,2
2023-07-12,1.115310024472009,7
2023-07-13,0.0424061873466334,5
2023-07-14,0.1137789177839753,2
2023-07-15,0.0409392142254263,3
2023-07-16,0.1594752545888682,6
2023-07-17,0.3591957506023882,17
2023-07-18,0.019551044973609,4
2023-07-19,0.0334783905393489,10
2023-07-20,0.121171687715044,7
2023-07-21,0.0201162968296038,5
2023-07-22,0.0877590734436933,5
2023-07-23,0.117885480928951,9
2023-07-24,0.3190112810781947,6
2023-07-25,0.1673585401267325,11
2023-07-26,0.0792477513858451,7
2023-07-27,0.15135015404695087,11
2023-07-28,1.8351208879836998,12
2023-07-29,0.0003833300840005,1
2023-07-30,0.0119543296447743,1
2023-07-31,0.0143504032431171,5
2023-08-01,0.3211740779299314,20
2023-08-02,0.2425760907473575,9
2023-08-03,7.1212927277460665,8
2023-08-04,0.7200129329988194,4
2023-08-05,0.3237629581690048,15
2023-08-06,0.20356469556598727,13
2023-08-07,0.2871731756094421,7
2023-08-08,0.1621247128392134,11
2023-08-09,0.8554182470881827,48
2023-08-10,0.1245583989800538,9
2023-08-11,0.27933246628368713,16
2023-08-12,0.0442062619067941,5
2023-08-13,0.3243771425082929,17
2023-08-14,0.1996216381416831,11
2023-08-15,0.2034734008470122,11
2023-08-16,0.43348098193591844,13
2023-08-17,0.872008908244246,23
2023-08-18,0.1017106396941192,11
2023-08-19,0.027002678848805802,7
2023-08-20,0.0838809876666607,7
2023-08-21,0.4814717066575432,13
2023-08-22,0.3722480994494488,10
2023-08-23,0.2254727332762084,4
2023-08-24,0.0180925480539775,4
2023-08-25,0.4780109402087269,9
2023-08-26,0.0696860810090867,8
2023-08-27,0.3102754946121613,8
2023-08-28,0.5489929768489756,10
2023-08-29,2.86969642197961,16
2023-08-30,0.0915145775113189,8
2023-08-31,0.10298758342132841,9
2023-09-01,0.3475550050816137,13
2023-09-02,2.281260833972697,7
2023-09-03,0.2728283004027456,7
2023-09-04,0.21253917592976318,8
2023-09-05,0.2560940069505379,11
2023-09-06,1.5730044074941796,38
2023-09-07,2.061052556505224,35
2023-09-08,1.1378913713517722,31
2023-09-09,0.228050326933203,25
2023-09-10,0.1430648132426963,17
2023-09-11,9.670947345330992,33
2023-09-12,0.2236574883026001,25
2023-09-13,0.23496495776299162,16
2023-09-14,0.44006691507950196,17
2023-09-15,0.3035120254153754,25
2023-09-16,0.0586357817357559,13
2023-09-17,0.012086368498465401,8
2023-09-18,0.0831860426219405,13
2023-09-19,1.3116925055519786,19
2023-09-20,0.1700047748964164,14
2023-09-21,0.45426179356842167,13
2023-09-22,0.4110025840416782,8
2023-09-23,0.2875420556604212,19
2023-09-24,0.0331769966817542,10
2023-09-25,1.6583743694984068,15
2023-09-26,0.21711672630112033,11
2023-09-27,0.4893075448214658,21
2023-09-28,0.05980368243676679,11
2023-09-29,0.37912388115731543,21
2023-09-30,1.1127500746822645,13
2023-10-01,0.1537305403940518,13
2023-10-02,0.41615511899036073,39
2023-10-03,0.0797852680257211,13
2023-10-04,0.1378482844029944,18
2023-10-05,0.21785770268043342,14
2023-10-06,0.1157619163183737,26
2023-10-07,0.1500197755671415,16
2023-10-08,0.25107604459176003,11
2023-10-09,0.116823632511261,17
2023-10-10,0.6861642428206162,17
2023-10-11,0.4038959949956071,24
2023-10-12,0.49332061057980614,27
2023-10-13,0.6047032849656027,31
2023-10-14,0.5566409844669897,22
2023-10-15,0.1134595386322077,22
2023-10-16,0.2125232613462887,23
2023-10-17,0.34482970776493016,23
2023-10-18,1.8039966085780639,16
2023-10-19,0.135510616503,27
2023-10-20,2.202903074632803,46
2023-10-21,0.11070805406704849,26
2023-10-22,0.0632117387946895,23
2023-10-23,0.8223519798593206,34
2023-10-24,9.0186304536781,35
2023-10-25,1.3046158446241647,42
2023-10-26,0.5718700372577998,76
2023-10-27,3.0109339348427024,136
2023-10-28,0.4943241276555868,78
2023-10-29,0.2566732051616852,61
2023-10-30,0.9631244622236452,94
2023-10-31,0.5655012049551071,114
2023-11-01,4.92636374041495,56
2023-11-02,0.248218554560401,35
2023-11-03,1.7295876551654579,55
2023-11-04,0.4271230609374429,50
2023-11-05,0.8904250448002157,76
2023-11-06,0.6188697288409004,67
2023-11-07,0.6946156032688802,79
2023-11-08,1.3518644007970917,62
2023-11-09,1.336234944909116,45
2023-11-10,1.38403948733769,79
2023-11-11,0.3757721726321789,50
2023-11-12,2.530272146453341,95
2023-11-13,1.252295561358457,102
2023-11-14,0.9471498070742105,86
2023-11-15,1.1023471465921053,108
2023-11-16,0.8654644389541855,63
2023-11-17,0.2337231924541822,42
2023-11-18,0.4510294150136822,30
2023-11-19,0.14362047685369012,17
2023-11-20,0.4038956266174097,39
2023-11-21,0.6712583068464099,42
2023-11-22,0.7043710789750591,22
2023-11-23,0.4914346124726614,26
2023-11-24,0.6962528780929492,22
2023-11-25,0.6878905131543428,23
2023-11-26,0.1194499369097963,15
2023-11-27,0.4921062990937002,24
2023-11-28,0.8531166404652337,32
2023-11-29,0.8788003297104025,20
2023-11-30,1.5496734185509993,25
2023-12-01,1.931343510665521,37
2023-12-02,1.2496814797983258,37
2023-12-03,2.153627381677475,24
2023-12-04,4.345354362428749,47
2023-12-05,4.059171605924855,39
2023-12-06,0.8562094511868726,40
2023-12-07,1.0857355277361456,38
2023-12-08,1.9145963696077954,81
2023-12-09,1.0655728551777528,51
2023-12-10,0.6660732722755127,43
2023-12-11,1.5802759630241376,72
2023-12-12,0.7567638012801058,40
2023-12-13,4.81154257957793,49
2023-12-14,2.0023247376378555,67
2023-12-15,1.191344904882236,41
2023-12-16,3.407834451744482,62
2023-12-17,0.58217455891758,48
2023-12-18,0.9419484334469967,57
2023-12-19,1.0722793425572206,42
2023-12-20,1.0899740461432827,57
2023-12-21,1.96469254793197,64
2023-12-22,2.1303216736842074,80
2023-12-23,4.777470948147002,80
2023-12-24,0.9113499970931324,71
2023-12-25,0.7351261456043566,51
2023-12-26,0.8120927369177277,77
2023-12-27,0.2624302976913935,44
